ReadID,PartialType
701_Z2SFTS_1,partial_P5
706_Z2SFTS_1,partial_P7
707_Z2SFTS_1,partial_P5
708_Z2SFTS_1,partial_P5
709_Z2SFTS_1,partial_P5
711_Z2SFTS_1,partial_P5
712_Z2SFTS_1,partial_P7
713_Z2SFTS_1,partial_P5
714_Z2SFTS_1,partial_P7
715_Z2SFTS_1,partial_P5
716_Z2SFTS_1,partial_P5
717_Z2SFTS_1,partial_P5
718_Z2SFTS_1,partial_P7
719_Z2SFTS_1,partial_P7
720_Z2SFTS_1,partial_P5
721_Z2SFTS_1,partial_P7
725_Z2SFTS_1,partial_P7
727_Z2SFTS_1,partial_P5
728_Z2SFTS_1,partial_P7
733_Z2SFTS_1,partial_P5
734_Z2SFTS_1,partial_P7
735_Z2SFTS_1,partial_P5
736_Z2SFTS_1,partial_P7
737_Z2SFTS_1,partial_P5
740_Z2SFTS_1,partial_P5
743_Z2SFTS_1,partial_P5
744_Z2SFTS_1,partial_P7
745_Z2SFTS_1,partial_P5
746_Z2SFTS_1,partial_P5
747_Z2SFTS_1,partial_P5
748_Z2SFTS_1,partial_P5
749_Z2SFTS_1,both_partial
751_Z2SFTS_1,partial_P5
752_Z2SFTS_1,partial_P5
753_Z2SFTS_1,partial_P7
754_Z2SFTS_1,partial_P5
756_Z2SFTS_1,partial_P5
759_Z2SFTS_1,partial_P5
762_Z2SFTS_1,partial_P7
763_Z2SFTS_1,partial_P7
766_Z2SFTS_1,partial_P7
767_Z2SFTS_1,partial_P5
768_Z2SFTS_1,both_partial
769_Z2SFTS_1,partial_P5
771_Z2SFTS_1,partial_P7
773_Z2SFTS_1,partial_P5
774_Z2SFTS_1,partial_P5
775_Z2SFTS_1,partial_P5
780_Z2SFTS_1,partial_P7
782_Z2SFTS_1,partial_P5
783_Z2SFTS_1,partial_P5
784_Z2SFTS_1,partial_P7
787_Z2SFTS_1,partial_P5
788_Z2SFTS_1,partial_P7
789_Z2SFTS_1,partial_P7
790_Z2SFTS_1,partial_P7
791_Z2SFTS_1,both_partial
792_Z2SFTS_1,partial_P7
794_Z2SFTS_1,partial_P5
795_Z2SFTS_1,partial_P7
796_Z2SFTS_1,partial_P5
797_Z2SFTS_1,partial_P5
800_Z2SFTS_1,partial_P7
802_Z2SFTS_1,partial_P5
803_Z2SFTS_1,partial_P7
804_Z2SFTS_1,partial_P5
806_Z2SFTS_1,partial_P5
807_Z2SFTS_1,partial_P5
808_Z2SFTS_1,partial_P5
809_Z2SFTS_1,partial_P5
810_Z2SFTS_1,partial_P5
814_Z2SFTS_1,both_partial
815_Z2SFTS_1,partial_P7
816_Z2SFTS_1,partial_P7
818_Z2SFTS_1,partial_P5
819_Z2SFTS_1,partial_P5
821_Z2SFTS_1,partial_P5
822_Z2SFTS_1,partial_P5
823_Z2SFTS_1,partial_P5
824_Z2SFTS_1,partial_P5
827_Z2SFTS_1,partial_P5
828_Z2SFTS_1,partial_P7
829_Z2SFTS_1,both_partial
835_Z2SFTS_1,partial_P5
836_Z2SFTS_1,partial_P5
837_Z2SFTS_1,partial_P5
840_Z2SFTS_1,partial_P7
